College Name,Branch,Category,Percentile
Government College of Engineering  Amravati,Civil Engineering,GOPENS,80.7328826
Government College of Engineering  Amravati,Civil Engineering,GSCS,76.6166542
Government College of Engineering  Amravati,Civil Engineering,GSTS,58.7429854
Government College of Engineering  Amravati,Civil Engineering,GVJS,76.9213416
Government College of Engineering  Amravati,Civil Engineering,GNT1S,76.2843676
Government College of Engineering  Amravati,Civil Engineering,GNT2S,79.8081214
Government College of Engineering  Amravati,Civil Engineering,GNT3S,74.1935484
Government College of Engineering  Amravati,Civil Engineering,GOBCS,76.2843676
Government College of Engineering  Amravati,Civil Engineering,LOPENS,83.4053417
Government College of Engineering  Amravati,Civil Engineering,LSCS,75.0737739
Government College of Engineering  Amravati,Civil Engineering,LSTS,61.4332053
Government College of Engineering  Amravati,Civil Engineering,LVJS,75.867353
Government College of Engineering  Amravati,Civil Engineering,LNT1S,67.3938217
Government College of Engineering  Amravati,Civil Engineering,LNT2S,73.642653
Government College of Engineering  Amravati,Civil Engineering,LNT3S,58.7429854
Government College of Engineering  Amravati,Civil Engineering,LOBCS,78.3308876
Government College of Engineering  Amravati,Civil Engineering,PWDOPENS,70.5106049
Government College of Engineering  Amravati,Civil Engineering,DEFOPENS,36.1619626
Government College of Engineering  Amravati,Civil Engineering,TFWS,89.690179
Government College of Engineering  Amravati,Civil Engineering,EWS,78.067557
Government College of Engineering  Amravati,Computer Science and Engineering,GOPENS,97.3642653
Government College of Engineering  Amravati,Computer Science and Engineering,GSCS,94.0441452
Government College of Engineering  Amravati,Computer Science and Engineering,GSTS,82.3107244
Government College of Engineering  Amravati,Computer Science and Engineering,GVJS,95.9541871
Government College of Engineering  Amravati,Computer Science and Engineering,GNT1S,94.6808113
Government College of Engineering  Amravati,Computer Science and Engineering,GNT2S,96.0633178
Government College of Engineering  Amravati,Computer Science and Engineering,GNT3S,93.8260094
Government College of Engineering  Amravati,Computer Science and Engineering,GOBCS,97.0482604
Government College of Engineering  Amravati,Computer Science and Engineering,LOPENS,97.1523959
Government College of Engineering  Amravati,Computer Science and Engineering,LSCS,92.733306
Government College of Engineering  Amravati,Computer Science and Engineering,LSTS,80.6210251
Government College of Engineering  Amravati,Computer Science and Engineering,LOBCS,96.8581856
Government College of Engineering  Amravati,Computer Science and Engineering,PWDOPENS,82.4643661
Government College of Engineering  Amravati,Computer Science and Engineering,DEFOPENS,94.1664477
Government College of Engineering  Amravati,Computer Science and Engineering,TFWS,97.3792778
Government College of Engineering  Amravati,Computer Science and Engineering,PWDROBCS,80.8641005
Government College of Engineering  Amravati,Computer Science and Engineering,DEFROBCS,93.2969235
Government College of Engineering  Amravati,Computer Science and Engineering,EWS,95.9738402
Government College of Engineering  Amravati,Information Technology,GOPENS,95.9738402
Government College of Engineering  Amravati,Information Technology,GSCS,92.4862529
Government College of Engineering  Amravati,Information Technology,GSTS,81.8534982
Government College of Engineering  Amravati,Information Technology,GVJS,90.4575998
Government College of Engineering  Amravati,Information Technology,GNT1S,93.521357
Government College of Engineering  Amravati,Information Technology,GNT2S,95.0744473
Government College of Engineering  Amravati,Information Technology,GNT3S,93.2108027
Government College of Engineering  Amravati,Information Technology,GOBCS,95.6795422
Government College of Engineering  Amravati,Information Technology,LOPENS,96.2787373
Government College of Engineering  Amravati,Information Technology,LSCS,91.4895289
Government College of Engineering  Amravati,Information Technology,LSTS,76.2843676
Government College of Engineering  Amravati,Information Technology,LNT1S,93.5868331
Government College of Engineering  Amravati,Information Technology,LNT2S,95.2175544
Government College of Engineering  Amravati,Information Technology,LOBCS,95.9541871
Government College of Engineering  Amravati,Information Technology,PWDOPENS,70.5106049
Government College of Engineering  Amravati,Information Technology,DEFOPENS,87.6984872
Government College of Engineering  Amravati,Information Technology,TFWS,96.4414768
Government College of Engineering  Amravati,Information Technology,PWDRSCS,67.711928
Government College of Engineering  Amravati,Information Technology,DEFROBCS,87.4817577
Government College of Engineering  Amravati,Information Technology,EWS,95.0827713
Government College of Engineering  Amravati,Electrical Engineering,GOPENS,87.2113119
Government College of Engineering  Amravati,Electrical Engineering,GSCS,80.7328826
Government College of Engineering  Amravati,Electrical Engineering,GSTS,54.0043616
Government College of Engineering  Amravati,Electrical Engineering,GVJS,83.4300164
Government College of Engineering  Amravati,Electrical Engineering,GNT1S,82.251586
Government College of Engineering  Amravati,Electrical Engineering,GNT2S,79.7807688
Government College of Engineering  Amravati,Electrical Engineering,GOBCS,85.4752553
Government College of Engineering  Amravati,Electrical Engineering,LOPENS,89.1600241
Government College of Engineering  Amravati,Electrical Engineering,LSCS,85.4752553
Government College of Engineering  Amravati,Electrical Engineering,LSTS,29.2444305
Government College of Engineering  Amravati,Electrical Engineering,LVJS,86.3550668
Government College of Engineering  Amravati,Electrical Engineering,LNT3S,58.0840122
Government College of Engineering  Amravati,Electrical Engineering,LOBCS,87.0556299
Government College of Engineering  Amravati,Electrical Engineering,DEFOPENS,54.0043616
Government College of Engineering  Amravati,Electrical Engineering,TFWS,90.1850615
Government College of Engineering  Amravati,Electrical Engineering,EWS,84.2884307
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,GOPENS,93.495874
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,GSCS,88.5960295
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,GSTS,56.656397
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,GVJS,87.3774785
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,GNT1S,92.8593873
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,GNT2S,91.2629338
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,GNT3S,87.6984872
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,GOBCS,93.0014674
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,LOPENS,94.2498036
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,LSCS,89.5231349
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,LSTS,61.6397637
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,LVJS,82.4443082
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,LNT2S,91.0376802
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,LOBCS,93.2464234
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,PWDOPENS,20.1485207
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,DEFOPENS,78.4161664
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,TFWS,94.2498036
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,DEFROBCS,72.394012
Government College of Engineering  Amravati,Electronics and Telecommunication Engg,EWS,91.7108778
Government College of Engineering  Amravati,Instrumentation Engineering,GOPENS,77.9969992
Government College of Engineering  Amravati,Instrumentation Engineering,GSCS,68.3823818
Government College of Engineering  Amravati,Instrumentation Engineering,GSTS,37.6936381
Government College of Engineering  Amravati,Instrumentation Engineering,GVJS,39.9066862
Government College of Engineering  Amravati,Instrumentation Engineering,GNT2S,71.2687819
Government College of Engineering  Amravati,Instrumentation Engineering,GOBCS,73.3779089
Government College of Engineering  Amravati,Instrumentation Engineering,LOPENS,78.8754662
Government College of Engineering  Amravati,Instrumentation Engineering,LSCS,66.4309764
Government College of Engineering  Amravati,Instrumentation Engineering,LSTS,42.4233825
Government College of Engineering  Amravati,Instrumentation Engineering,LNT1S,66.4309764
Government College of Engineering  Amravati,Instrumentation Engineering,LOBCS,73.4246062
Government College of Engineering  Amravati,Instrumentation Engineering,TFWS,85.1537884
Government College of Engineering  Amravati,Instrumentation Engineering,EWS,77.9969992
Government College of Engineering  Amravati,Mechanical Engineering,GOPENS,84.0516274
Government College of Engineering  Amravati,Mechanical Engineering,GSCS,73.1851907
Government College of Engineering  Amravati,Mechanical Engineering,GSTS,33.2472877
Government College of Engineering  Amravati,Mechanical Engineering,GVJS,75.1725431
Government College of Engineering  Amravati,Mechanical Engineering,GNT1S,79.8081214
Government College of Engineering  Amravati,Mechanical Engineering,GNT2S,78.4161664
Government College of Engineering  Amravati,Mechanical Engineering,GNT3S,75.1725431
Government College of Engineering  Amravati,Mechanical Engineering,GOBCS,81.8534982
Government College of Engineering  Amravati,Mechanical Engineering,LOPENS,82.3107244
Government College of Engineering  Amravati,Mechanical Engineering,LSCS,73.642653
Government College of Engineering  Amravati,Mechanical Engineering,LSTS,43.5071268
Government College of Engineering  Amravati,Mechanical Engineering,LVJS,66.9527897
Government College of Engineering  Amravati,Mechanical Engineering,LNT2S,78.5775598
Government College of Engineering  Amravati,Mechanical Engineering,LOBCS,76.2843676
Government College of Engineering  Amravati,Mechanical Engineering,TFWS,87.5056399
Government College of Engineering  Amravati,Mechanical Engineering,EWS,82.251586
Government College of Engineering  Yavatmal,Civil Engineering,GOPENH,65.9622938
Government College of Engineering  Yavatmal,Civil Engineering,GSCH,47.3478734
Government College of Engineering  Yavatmal,Civil Engineering,GVJH,62.3996115
Government College of Engineering  Yavatmal,Civil Engineering,GNT2H,46.8567142
Government College of Engineering  Yavatmal,Civil Engineering,GNT3H,33.3408586
Government College of Engineering  Yavatmal,Civil Engineering,GOBCH,58.1382561
Government College of Engineering  Yavatmal,Civil Engineering,LOPENH,60.9799222
Government College of Engineering  Yavatmal,Civil Engineering,LSCH,49.0455617
Government College of Engineering  Yavatmal,Civil Engineering,LNT1H,52.7422372
Government College of Engineering  Yavatmal,Civil Engineering,LOBCH,42.5530244
Government College of Engineering  Yavatmal,Civil Engineering,GSTH,26.0127532
Government College of Engineering  Yavatmal,Civil Engineering,LSTH,39.4392454
Government College of Engineering  Yavatmal,Civil Engineering,GOPENO,74.1356658
Government College of Engineering  Yavatmal,Civil Engineering,GSCO,60.9799222
Government College of Engineering  Yavatmal,Civil Engineering,GNT2O,69.597699
Government College of Engineering  Yavatmal,Civil Engineering,GOBCO,58.5474069
Government College of Engineering  Yavatmal,Civil Engineering,LOPENO,69.0354573
Government College of Engineering  Yavatmal,Civil Engineering,LSTO,27.6545345
Government College of Engineering  Yavatmal,Civil Engineering,LOBCO,58.1195238
Government College of Engineering  Yavatmal,Civil Engineering,TFWS,73.4109953
Government College of Engineering  Yavatmal,Civil Engineering,EWS,51.0567213
Government College of Engineering  Yavatmal,Computer Engineering,GOPENH,87.2113119
Government College of Engineering  Yavatmal,Computer Engineering,GSCH,80.7328826
Government College of Engineering  Yavatmal,Computer Engineering,GSTH,68.9337823
Government College of Engineering  Yavatmal,Computer Engineering,GVJH,87.0718315
Government College of Engineering  Yavatmal,Computer Engineering,GNT1H,86.6965956
Government College of Engineering  Yavatmal,Computer Engineering,GNT2H,83.0041152
Government College of Engineering  Yavatmal,Computer Engineering,GOBCH,86.3770498
Government College of Engineering  Yavatmal,Computer Engineering,LOPENH,88.2793393
Government College of Engineering  Yavatmal,Computer Engineering,LSCH,82.2266135
Government College of Engineering  Yavatmal,Computer Engineering,LSTH,51.4762755
Government College of Engineering  Yavatmal,Computer Engineering,LNT3H,61.432847
Government College of Engineering  Yavatmal,Computer Engineering,LOBCH,87.7770341
Government College of Engineering  Yavatmal,Computer Engineering,PWDOPENH,41.0926455
Government College of Engineering  Yavatmal,Computer Engineering,PWDROBCH,38.992574
Government College of Engineering  Yavatmal,Computer Engineering,GOPENO,91.2518343
Government College of Engineering  Yavatmal,Computer Engineering,GSCO,88.2852988
Government College of Engineering  Yavatmal,Computer Engineering,GSTO,71.8303504
Government College of Engineering  Yavatmal,Computer Engineering,GVJO,88.2671548
Government College of Engineering  Yavatmal,Computer Engineering,GOBCO,90.0942655
Government College of Engineering  Yavatmal,Computer Engineering,LOPENO,89.9662416
Government College of Engineering  Yavatmal,Computer Engineering,LSCO,81.2345291
Government College of Engineering  Yavatmal,Computer Engineering,LNT2O,88.7938441
Government College of Engineering  Yavatmal,Computer Engineering,LOBCO,89.5398277
Government College of Engineering  Yavatmal,Computer Engineering,DEFOPENS,71.6671025
Government College of Engineering  Yavatmal,Computer Engineering,TFWS,92.6604063
Government College of Engineering  Yavatmal,Computer Engineering,DEFROBCS,55.4490884
Government College of Engineering  Yavatmal,Computer Engineering,EWS,88.6695314
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GOPENH,79.5863208
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GSCH,64.4512569
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GVJH,71.6671025
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GNT1H,73.2522683
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GNT2H,66.9527897
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GNT3H,71.4000828
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GOBCH,77.4241933
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LOPENH,79.520817
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LSCH,76.7693871
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LVJH,58.0840122
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LOBCH,78.4065273
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GSTH,47.387098
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GOPENO,85.1488129
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GSCO,78.8754662
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GNT2O,79.2648162
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,GOBCO,83.878077
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LOPENO,85.1537884
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LSCO,73.642653
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LSTO,55.4490884
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LNT1O,71.3590844
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,LOBCO,84.3950599
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,DEFOPENS,49.2213366
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,TFWS,85.9227307
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,DEFROBCS,44.476613
Government College of Engineering  Yavatmal,Electronics and Telecommunication Engg,EWS,77.0079706
Government College of Engineering  Yavatmal,Mechanical Engineering,GOPENH,62.3996115
Government College of Engineering  Yavatmal,Mechanical Engineering,GSCH,37.7324111
Government College of Engineering  Yavatmal,Mechanical Engineering,GVJH,46.4534231
Government College of Engineering  Yavatmal,Mechanical Engineering,GNT2H,5.003542
Government College of Engineering  Yavatmal,Mechanical Engineering,GNT3H,58.7429854
Government College of Engineering  Yavatmal,Mechanical Engineering,GOBCH,56.656397
Government College of Engineering  Yavatmal,Mechanical Engineering,LOPENH,53.1660451
Government College of Engineering  Yavatmal,Mechanical Engineering,LSCH,38.8357386
Government College of Engineering  Yavatmal,Mechanical Engineering,LNT1H,42.5955447
Government College of Engineering  Yavatmal,Mechanical Engineering,LNT2H,41.0926455
Government College of Engineering  Yavatmal,Mechanical Engineering,LOBCH,49.6143282
Government College of Engineering  Yavatmal,Mechanical Engineering,PWDOPENH,2.3315484
Government College of Engineering  Yavatmal,Mechanical Engineering,GSTH,22.6551453
Government College of Engineering  Yavatmal,Mechanical Engineering,LSTH,20.3198986
Government College of Engineering  Yavatmal,Mechanical Engineering,GOPENO,73.0265619
Government College of Engineering  Yavatmal,Mechanical Engineering,GSCO,58.8704519
Government College of Engineering  Yavatmal,Mechanical Engineering,GSTO,20.3198986
Government College of Engineering  Yavatmal,Mechanical Engineering,GVJO,71.9809302
Government College of Engineering  Yavatmal,Mechanical Engineering,GNT1O,71.6671025
Government College of Engineering  Yavatmal,Mechanical Engineering,GOBCO,62.7344336
Government College of Engineering  Yavatmal,Mechanical Engineering,LOPENO,61.6397637
Government College of Engineering  Yavatmal,Mechanical Engineering,LOBCO,48.0589023
Government College of Engineering  Yavatmal,Mechanical Engineering,TFWS,75.867353
Government College of Engineering  Yavatmal,Mechanical Engineering,EWS,58.1382561
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GOPENH,71.3590844
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GSCH,49.5548073
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GSTH,8.7187144
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GVJH,48.0589023
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GNT1H,68.9337823
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GNT2H,58.8704519
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GOBCH,69.597699
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,LOPENH,69.7774101
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,LSCH,56.656397
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,LOBCH,69.3042857
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GOPENO,65.0367935
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GSCO,54.0043616
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,GOBCO,59.9156802
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,LOPENO,76.839044
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,LOBCO,55.2985075
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,LNT2O,12.6949825
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,DEFOPENS,12.1380345
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,TFWS,84.740951
Shri Sant Gajanan Maharaj College of Engineering  Shegaon,Mechanical Engineering,EWS,55.2985075
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GOPENH,82.1650299
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GSCH,78.067557
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GSTH,56.7405028
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GVJH,78.8754662
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GNT1H,81.4853713
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GNT2H,74.4658288
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GNT3H,71.2687819
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GOBCH,81.4853713
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LOPENH,83.3890161
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LSCH,79.8081214
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LSTH,27.6545345
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LVJH,80.7328826
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LNT2H,74.8671904
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LOBCH,51.4762755
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,PWDOPENH,82.0912919
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,PWDROBCH,4.9294633
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GOPENO,78.4065273
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GSCO,75.1476841
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GSTO,54.0043616
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GVJO,56.656397
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GNT1O,73.4109953
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GNT2O,76.9213416
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GOBCO,77.7994669
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LOPENO,79.7807688
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LSCO,74.8671904
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LSTO,19.6543598
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LVJO,75.1687111
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,LOBCO,78.4161664
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,GSTO,47.387098
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,DEFOPENS,58.1382561
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,TFWS,88.7938441
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Computer Science and Engineering,EWS,72.6119403
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GOPENH,50.8083922
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GSCH,43.1162283
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GNT2H,27.6545345
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GOBCH,48.0589023
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,LOPENH,55.8997381
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,LSCH,45.9664342
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,LOBCH,50.2663166
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GOPENO,34.1818319
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GOBCO,9.2629778
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,LOPENO,16.9363708
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,LOBCO,8.1440818
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GSCO,36.029881
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GVJO,34.1365462
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,GOBCO,47.3478734
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,LNT1O,12.4194815
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,LNT2O,15.5096512
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,TFWS,53.6496624
P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus)  Amravati,Mechanical Engineering,EWS,20.9244385
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,GOPENH,68.401414
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,GSCH,49.4761567
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,GSTH,17.8500207
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,GVJH,66.3914919
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,GNT1H,66.3914919
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,GNT2H,64.2666767
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,GNT3H,61.2935921
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,GOBCH,73.1851907
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,LOPENH,50.2663166
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,LSCH,37.6936381
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,LSTH,65.0367935
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,LNT1H,67.3938217
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,LNT2H,64.0952985
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,LOBCH,7.9296955
Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering  Pusad,Computer Science and Engineering,PWDOPENH,68.401414
